Input;Description;Density_Class;Kick;Snare;Hihat;Tom;Cymbals
35,36;Kick;0;0;0;4;3;5
35,36;Kick;1;0;4;5;2;1
35,36;Kick;2;0;5;5;1;0
37,38,39,40;Snare;0;4;0;4;4;4
37,38,39,40;Snare;1;4;0;3;1;3
37,38,39,40;Snare;2;1;0;2;4;2
42,44,46;Hats;0;1;0;0;3;4
42,44,46;Hats;1;3;4;0;2;2
42,44,46;Hats;2;3;4;0;1;1
41,43,45,47,48,50;Toms;0;2;4;4;0;4
41,43,45,47,48,50;Toms;1;3;3;3;0;3
41,43,45,47,48,50;Toms;2;4;2;2;0;2
49,51,52,53,55;Cymbels;0;5;2;0;3;0
49,51,52,53,55;Cymbels;1;3;2;0;3;0
49,51,52,53,55;Cymbels;2;2;2;0;3;0
